,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DB2.158,-0.05986355589442433,-0.022733745087213666,-0.02502809026294459,-0.007176752839769072,0.1335403090989612,0.003220178217660013,-0.0540400740103591,-0.04761088681088664,0.013435681327340902,-0.01588471836089905,-0.08741285230082321,0.06685421737294611,0.13040126505771227,0.08381188098496288,-0.029338603937916687
DB2.111,0.028963979149961145,0.021923988257523997,-0.06136328950526407,0.029640180009157774,-0.03585062231154159,0.025101783105850716,0.009311242335834344,0.03061899702660667,0.14972022489761372,-0.04696568900090907,-0.03961564326135567,-0.00913163302780599,0.06002852892604102,0.005159985500992236,-0.02282708734199284
DB2.156,0.12187589483865183,0.024661668721557266,0.027544695778893076,0.04587615076653683,-0.05069617814909725,-0.15824358213546832,-0.03442295232255094,-0.003241280910977113,-0.019794238448146144,0.15199688158255703,0.013785320204878992,0.08749168790442473,-0.030363029914971498,0.007273213277000129,-0.0017720897103223263
DB2.143,0.08963950138138466,0.08174103037655092,0.03180594300008461,-0.03668474523652606,0.047367407125490944,-0.004640702826290277,-0.13657761756552064,-0.02772422285792506,0.02410204919015336,0.025429620171291908,0.09216916643399226,0.007612444998322774,0.006437317023757263,-0.026473539305491022,0.14258007492134211
DB2.098,0.11256379532994235,0.09973701972400814,0.03323472943214737,-0.013404455980754371,-0.05318932588769684,-0.08068543279882193,-0.25832479730743135,-0.035427452039370984,-0.027694317005239204,0.10028750263926625,0.1182568352516447,-0.07240939299052158,0.013207528271769476,-0.02404023142258806,0.0275385028467256
DB2.164,-0.04311336204933351,0.03178678679617491,0.00046452794934097763,-0.022500215236640343,0.06988789944960346,-0.03880588391212667,0.0198257170618055,-0.0039533271462642225,-0.01699238491882527,-0.0020070402639298397,-0.058404330561276405,0.024617710190042223,0.05390218202842735,0.05331825383876001,0.05073920601658258
DB2.120,0.0981321607928192,-0.019890565130621495,-0.11888148243708506,-0.011736707001841993,0.019030090070405185,0.07099220334786456,-0.05833821719959752,-0.1390623012967513,-0.06698498532419933,-0.013264124195161231,0.06004679848076396,0.03519600943366469,-0.02617756277319378,-0.07364788858422874,0.04090860152623259
DB2.121,0.03254459412939938,0.031274548166863474,-0.030780836660474244,-0.009747910120106795,-0.017020465838485148,-0.06089959632219248,0.031876908638710066,-0.009299094093479909,0.0006181328190600568,0.16683717678466148,0.05446573445468627,-0.006047142788921518,0.037435404368071225,0.0776885113012959,0.2598510325302222
DB2.128,0.0503950077269841,0.0006114416011917524,-0.012908992299969417,-0.007750922696700152,0.02631661086611647,0.0074639196358232416,0.05532574629892202,-0.007733616482306735,0.06913627327940819,-0.0040491335374020455,-0.07028157767694251,0.16912694080427448,-0.09114137438533879,-0.049726572559943,0.07745516317048151
DB2.142,0.0855373780797549,-0.010203951080037877,0.008220491620827474,0.04857460822191893,-0.10132689950177383,-0.01376180596162772,-0.05219955833732279,-0.11006778275023678,0.0262030745337461,0.014149227956395253,-0.014129085315575968,-0.012861928587238466,-0.03287500983936467,0.06812686395743175,-0.060568878663078106
